"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT16","WT18","WT22"
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-01","10.74",,"0.01","0.5","9.0",,"34","7","  310","  300",,"21.0","28.0","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-02","9.62",,"0.12","2.3","8.0",,"26","7","  260","  260",,"21.9","25.9","    1",,,,,,,,,"    1",,,"    1","    1"
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-03","9.17",,"0.03","0.9","9.0",,"29","12","  250","  250",,"19.9","28.0","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-04","21.92",,"0.00","0.0","8.0",,"34","27","  240","  250",,"38.0","51.0",,,,,,,"    1",,,,,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-05","8.72",,"0.00","0.0","7.0",,"35","30","  260","  280",,"21.9","30.0",,,,,,,,,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-06","10.74",,"0.01","0.2","5.0",,"38","31","  250","  240",,"21.9","25.9","    1",,,,,,,,,"    1",,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-07","9.17",,"0.00","0.0","4.0",,"36","25","  240","  220",,"19.9","23.0",,,,,,,,,,,"    1",,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-08","6.04",,"0.00","0.0","4.0",,"39","25","  210","  220",,"16.1","23.0",,,,,,,,,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-09","13.65",,"0.00","0.0","3.0",,"47","22","  250","  250",,"33.1","45.0",,,,,,,,,,,,"    1",,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-10","6.49",,"0.00","0.0","2.0",,"43","34","  310","  310",,"19.9","29.1",,,,,,,"    1",,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-11","10.74",,"0.12","0.0","1.0",,"46","34","  210","  210",,"19.9","25.1","    1",,,,,,,,,,,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-12","9.17",,"0.00","0.0","0.0",,"58","43","  210","  210",,"17.0","29.1",,,,,,,,,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-13","8.72",,"0.00","0.0","0.0",,"69","48","  280","  280",,"28.0","34.9",,,,,,,,,,,,"    1",,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-14","11.41",,"0.00","0.0","0.0",,"55","28","  260","  260",,"36.0","51.0","    1",,,,,,,,"    1",,"    1","    1",,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-15","4.70",,"0.00","0.0","0.0",,"34","25","  240","  250",,"10.1","14.1",,,,,,,,,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-16","8.28",,"0.00","0.0","0.0",,"39","30","  260","  260",,"23.0","30.0",,,,,,,,,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-17","10.51",,"0.05","1.8","0.0",,"37","17","  260","  270",,"25.1","32.0","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-18","9.62",,"0.02","0.5","2.0",,"32","11","  210","  220",,"21.9","28.0","    1",,,,,,,,,"    1",,,"    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-19","14.76",,"0.00","0.0","1.0",,"48","31","  270","  260",,"29.1","38.0",,,,,,,,,,,,,,
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-20","20.36",,"0.02","0.5","0.0",,"49","18","  270","  250",,"45.0","59.1",,,,,,,,,,"    1",,"    1","    1",
"USW00014768","FREDERICK DOUGLASS GREATER ROCHESTER INTERNATIONAL AIRPORT, NY US","2013-01-21","9.17",,"0.00","0.1","0.0",,"21","14","  290","  290",,"19.9","25.1",,,,,,,,,,,,,"    1",
